Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             9.75              0.00             9.75               101.33   
0.09            0.04             0.00              0.00             0.13               101.46   
0.02            0.01             0.00              0.00             0.03               101.49   
0.02            0.02             0.00              0.00             0.04               101.53   
0.02            0.02             0.00              0.00             0.04               101.57   
0.01            0.01             0.00              0.00             0.02               101.59   
0.01            0.01             0.00              0.00             0.02               101.61   
0.01            0.01             0.00              0.00             0.02               101.63   
0.01            0.00             0.00              0.00             0.01               101.64   
0.01            0.00             0.00              0.00             0.01               101.65   
0.03            0.00             0.00              0.00             0.03               101.68   
0.02            0.00             0.00              0.00             0.02               101.70   
0.01            0.00             0.00              0.00             0.01               101.71   
0.02            0.00             0.00              0.00             0.02               101.73   
0.01            0.00             0.00              0.00             0.01               101.74   
0.01            0.00             0.00              0.00             0.01               101.75   
0.00            0.00             0.00              0.06             0.06               101.81   
