NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	4	4	15	16.89	14.64	2.25	0.00	0.00
1	1	1	8	10.37	9.55	0.82	0.00	0.00
1	8	8	15	14.96	13.60	1.36	0.00	0.00
2	4	4	15	11.46	10.24	1.22	0.00	0.00
1	5	5	24	15.94	14.46	1.48	0.00	0.00
2	7	7	24	17.22	15.66	1.56	0.00	0.00
1	1	1	8	9.72	9.24	0.48	0.00	0.00
2	4	4	15	7.43	6.42	1.02	0.00	0.00
3	8	8	57	38.80	35.13	3.67	0.00	0.00
1	2	2	6	8.28	7.94	0.34	0.00	0.00
2	4	4	15	6.81	6.03	0.78	0.00	0.00
1	14	14	24	12.53	11.36	1.17	0.00	0.00
1	8	8	15	7.47	6.74	0.73	0.00	0.00
1	32	32	102	54.11	49.82	4.29	0.00	0.00
1	160	160	306	84.52	70.80	13.72	0.00	0.00
1	30	30	96	59.25	55.78	3.47	0.00	0.00
1	30	30	96	60.99	57.40	3.58	0.00	0.00
2	4	4	15	4.36	3.83	0.54	0.00	0.00
2	4	4	15	5.22	4.60	0.62	0.00	0.00
2	4	4	15	5.58	4.95	0.63	0.00	0.00
2	4	4	15	5.39	4.75	0.64	0.00	0.00
1	2	2	12	8.97	8.13	0.84	0.00	0.00
2	4	4	15	4.18	3.66	0.53	0.00	0.00
1	8	8	15	4.53	4.00	0.53	0.00	0.00
1	8	8	15	4.43	3.89	0.54	0.00	0.00
3	7	7	53	12.57	10.44	2.13	0.00	0.00
1	1	1	8	3.02	2.71	0.32	0.00	0.00
2	3	3	18	5.14	4.46	0.68	0.00	0.00
2	4	4	15	5.14	4.55	0.59	0.00	0.00
1	8	8	15	4.36	3.79	0.58	0.00	0.00
2	5	5	24	8.40	7.49	0.91	0.00	0.00
2	4	4	15	4.28	3.75	0.53	0.00	0.00
2	4	4	15	4.30	3.77	0.53	0.00	0.00
2	4	4	15	4.54	4.02	0.52	0.00	0.00
1	14	14	24	10.65	9.70	0.95	0.00	0.00
1	8	8	15	6.70	5.20	1.50	0.00	0.00
1	8	8	15	5.28	4.68	0.60	0.00	0.00
3	7	7	46	9.38	7.77	1.61	0.00	0.00
2	7	7	24	8.28	7.49	0.79	0.00	0.00
1	8	8	15	4.43	3.90	0.52	0.00	0.00
1	8	8	15	6.43	5.73	0.70	0.00	0.00
2	6	6	24	9.29	8.47	0.82	0.00	0.00
2	6	6	24	9.09	8.28	0.80	0.00	0.00
1	8	8	15	4.29	3.78	0.51	0.00	0.00
2	6	6	24	9.44	8.61	0.82	0.00	0.00
2	6	6	24	9.88	9.08	0.80	0.00	0.00
2	6	6	24	9.92	9.09	0.82	0.00	0.00
2	6	6	24	9.47	8.66	0.80	0.00	0.00
2	6	6	24	11.45	10.52	0.93	0.00	0.00
2	6	6	24	16.25	15.27	0.99	0.00	0.00
2	6	6	24	8.85	8.07	0.78	0.00	0.00
2	6	6	24	10.27	8.16	2.11	0.00	0.00
2	6	6	24	8.70	7.93	0.78	0.00	0.00
2	6	6	24	9.35	8.58	0.77	0.00	0.00
2	6	6	24	8.30	7.52	0.78	0.00	0.00
2	6	6	24	10.83	8.89	1.94	0.00	0.00
1	8	8	15	3.62	3.14	0.48	0.00	0.00
1	8	8	15	5.20	4.63	0.57	0.00	0.00
1	8	8	15	5.39	4.81	0.58	0.00	0.00
1	8	8	15	7.35	6.50	0.85	0.00	0.00
2	4	4	15	12.64	11.19	1.44	0.00	0.00
3	7	7	53	14.90	12.71	2.19	0.00	0.00
2	4	4	15	4.98	4.39	0.59	0.00	0.00
1	1	1	8	3.28	2.98	0.30	0.00	0.00
2	7	7	24	10.16	9.25	0.91	0.00	0.00
2	7	7	24	8.05	7.28	0.77	0.00	0.00
2	7	7	24	8.30	7.45	0.85	0.00	0.00
1	1	1	8	2.96	2.69	0.27	0.00	0.00
1	1	1	8	2.91	2.69	0.23	0.00	0.00
1	1	1	8	3.04	2.80	0.24	0.00	0.00
2	7	7	24	9.08	8.31	0.77	0.00	0.00
2	7	7	24	8.89	8.11	0.78	0.00	0.00
2	7	7	24	12.25	11.45	0.80	0.00	0.00
2	7	7	24	8.57	7.78	0.78	0.00	0.00
2	7	7	24	8.60	7.83	0.77	0.00	0.00
2	7	7	24	8.86	8.09	0.77	0.00	0.00
2	7	7	24	8.53	7.74	0.78	0.00	0.00
2	7	7	24	8.45	7.69	0.77	0.00	0.00
2	10	10	36	13.08	11.85	1.23	0.00	0.00
1	1	1	12	4.85	4.45	0.39	0.00	0.00
2	4	4	15	4.59	4.10	0.49	0.00	0.00
2	7	7	24	8.60	7.82	0.77	0.00	0.00
2	4	4	15	4.69	4.17	0.53	0.00	0.00
2	7	7	24	8.65	7.96	0.70	0.00	0.00
1	1	1	8	2.84	2.59	0.25	0.00	0.00
2	7	7	24	8.58	7.81	0.77	0.00	0.00
2	7	7	24	8.97	8.18	0.79	0.00	0.00
3	7	7	54	17.43	14.90	2.54	0.00	0.00
2	7	7	24	10.82	9.90	0.92	0.00	0.00
2	7	7	24	8.97	8.21	0.76	0.00	0.00
1	1	1	8	2.73	2.48	0.25	0.00	0.00
1	8	8	15	3.69	3.22	0.47	0.00	0.00
2	4	4	15	3.58	3.11	0.47	0.00	0.00
2	7	7	24	7.85	7.10	0.75	0.00	0.00
2	4	4	15	6.84	6.04	0.80	0.00	0.00
1	14	14	24	7.58	6.82	0.76	0.00	0.00
1	8	8	15	3.90	3.41	0.49	0.00	0.00
3	10	10	73	14.00	11.41	2.59	0.00	0.00
2	7	7	24	8.91	8.15	0.77	0.00	0.00
2	7	7	24	8.51	7.75	0.76	0.00	0.00
2	7	7	24	8.40	7.64	0.75	0.00	0.00
2	7	7	24	8.55	7.81	0.74	0.00	0.00
2	7	7	24	12.75	11.66	1.09	0.00	0.00
2	7	7	24	8.49	7.73	0.77	0.00	0.00
2	7	7	24	8.24	7.46	0.78	0.00	0.00
1	1	1	8	2.50	2.28	0.21	0.00	0.00
2	7	7	24	7.97	7.20	0.77	0.00	0.00
2	7	7	24	8.11	7.36	0.75	0.00	0.00
2	7	7	24	8.31	7.55	0.76	0.00	0.00
2	7	7	24	7.86	7.12	0.74	0.00	0.00
2	7	7	24	8.13	7.37	0.77	0.00	0.00
2	7	7	24	8.48	7.69	0.80	0.00	0.00
2	7	7	24	8.67	7.89	0.77	0.00	0.00
2	7	7	24	8.52	7.73	0.79	0.00	0.00
2	7	7	24	8.10	7.38	0.72	0.00	0.00
2	7	7	24	8.60	7.81	0.79	0.00	0.00
1	8	8	15	4.37	3.90	0.47	0.00	0.00
2	4	4	15	3.51	3.03	0.48	0.00	0.00
1	1	1	8	2.21	1.98	0.23	0.00	0.00
1	12	12	21	9.85	9.07	0.77	0.00	0.00
2	7	7	24	8.05	7.29	0.77	0.00	0.00
2	4	4	15	3.73	3.22	0.51	0.00	0.00
2	4	4	15	3.72	3.25	0.47	0.00	0.00
3	7	7	60	21.76	19.79	1.98	0.00	0.00
1	10	10	36	60.02	58.95	1.07	0.00	0.00
1	14	14	24	7.62	6.87	0.75	0.00	0.00
1	8	8	15	3.77	3.30	0.47	0.00	0.00
2	4	4	15	10.20	9.75	0.45	0.00	0.00
3	18	18	151	25.67	20.14	5.53	0.00	0.00
1	2	2	12	4.36	3.97	0.39	0.00	0.00
1	2	2	12	4.46	4.07	0.39	0.00	0.00
1	8	8	15	4.28	3.84	0.43	0.00	0.00
1	8	8	15	3.75	3.28	0.47	0.00	0.00
1	1	1	8	2.26	2.04	0.22	0.00	0.00
2	4	4	15	3.89	3.40	0.49	0.00	0.00
2	4	4	15	3.97	3.47	0.50	0.00	0.00
2	7	7	24	13.14	12.33	0.80	0.00	0.00
2	4	4	15	3.51	3.02	0.49	0.00	0.00
3	8	8	59	24.96	22.81	2.15	0.00	0.00
3	8	8	60	24.79	22.58	2.21	0.00	0.00
1	8	8	15	3.80	3.30	0.50	0.00	0.00
1	8	8	15	3.60	3.11	0.49	0.00	0.00
2	6	6	38	52.23	50.87	1.36	0.00	0.00
1	8	8	15	3.79	3.32	0.47	0.00	0.00
2	4	4	15	3.50	3.02	0.48	0.00	0.00
1	8	8	15	3.94	3.47	0.47	0.00	0.00
2	4	4	15	3.77	3.30	0.47	0.00	0.00
2	4	4	15	3.64	3.17	0.47	0.00	0.00
2	4	4	15	3.57	3.07	0.49	0.00	0.00
2	4	4	15	3.49	3.00	0.49	0.00	0.00
2	4	4	15	3.47	3.04	0.43	0.00	0.00
2	4	4	15	3.62	3.19	0.43	0.00	0.00
3	20	20	211	8365.18	8254.41	110.78	0.00	0.00
2	4	4	15	4.02	3.35	0.67	0.00	0.00
1	8	8	15	3.92	3.23	0.68	0.00	0.00
2	4	4	15	7.48	6.40	1.08	0.00	0.00
2	4	4	15	3.42	2.94	0.48	0.00	0.00
2	4	4	15	3.39	2.92	0.47	0.00	0.00
2	4	4	15	3.44	2.96	0.47	0.00	0.00
1	8	8	15	3.83	3.35	0.48	0.00	0.00
2	4	4	15	3.60	3.11	0.49	0.00	0.00
2	4	4	15	3.59	3.10	0.48	0.00	0.00
2	4	4	15	3.53	3.06	0.47	0.00	0.00
2	4	4	15	3.51	3.02	0.49	0.00	0.00
2	4	4	15	3.65	3.16	0.49	0.00	0.00
2	4	4	15	3.59	3.10	0.49	0.00	0.00
2	4	4	15	3.52	3.02	0.49	0.00	0.00
2	4	4	15	3.63	3.13	0.50	0.00	0.00
2	4	4	15	3.52	3.06	0.47	0.00	0.00
2	4	4	15	3.55	3.07	0.48	0.00	0.00
2	4	4	15	3.82	3.34	0.48	0.00	0.00
1	8	8	15	3.54	3.07	0.47	0.00	0.00
2	4	4	15	3.49	3.00	0.49	0.00	0.00
1	2	2	12	4.26	3.89	0.38	0.00	0.00
2	4	4	15	3.85	3.37	0.47	0.00	0.00
5	8	8	105	27.89	23.47	4.42	0.00	0.00
1	8	8	15	3.81	3.32	0.48	0.00	0.00
3	9	9	41	10.23	8.80	1.43	0.00	0.00
4	9	9	40	14.68	13.01	1.67	0.00	0.00
2	7	7	24	8.64	7.95	0.69	0.00	0.00
2	4	4	15	4.04	3.56	0.48	0.00	0.00
2	4	4	15	4.12	3.65	0.47	0.00	0.00
4	6	6	28	7.95	6.84	1.11	0.00	0.00
2	4	4	15	3.82	3.34	0.48	0.00	0.00
1	6	6	24	6.51	5.75	0.76	0.00	0.00
2	4	4	15	3.74	3.25	0.50	0.00	0.00
2	4	4	15	3.83	3.35	0.48	0.00	0.00
3	36	36	110	62.21	57.53	4.68	0.00	0.00
3	12	12	50	42.54	40.53	2.01	0.00	0.00
2	30	30	121	59.86	55.34	4.52	0.00	0.00
2	4	4	15	4.30	3.83	0.47	0.00	0.00
1	14	14	24	8.57	7.81	0.76	0.00	0.00
1	14	14	24	7.59	6.79	0.79	0.00	0.00
1	14	14	24	9.98	9.23	0.75	0.00	0.00
1	14	14	24	9.85	9.10	0.76	0.00	0.00
1	14	14	24	10.82	10.04	0.78	0.00	0.00
1	14	14	24	10.91	10.26	0.65	0.00	0.00
1	14	14	24	9.39	8.73	0.65	0.00	0.00
1	14	14	24	11.32	10.64	0.68	0.00	0.00
1	8	8	15	5.35	4.62	0.73	0.00	0.00
1	8	8	15	3.91	3.41	0.50	0.00	0.00
4	1	1	190	70.35	62.09	8.26	0.00	0.00
2	4	4	15	3.85	3.33	0.52	0.00	0.00
2	4	4	15	7.33	6.44	0.89	0.00	0.00
3	3	3	31	11.81	10.75	1.06	0.00	0.00
2	4	4	15	4.27	3.77	0.50	0.00	0.00
2	7	7	24	8.40	7.63	0.76	0.00	0.00
1	12	12	21	6.69	6.04	0.65	0.00	0.00
2	4	4	15	3.78	3.31	0.47	0.00	0.00
1	14	14	24	7.80	7.09	0.71	0.00	0.00
2	4	4	15	4.31	3.83	0.47	0.00	0.00
2	4	4	15	4.13	3.65	0.48	0.00	0.00
2	30	30	91	57.78	54.27	3.51	0.00	0.00
2	4	4	15	3.79	3.33	0.46	0.00	0.00
2	4	4	15	3.81	3.34	0.47	0.00	0.00
2	4	4	15	4.12	3.64	0.48	0.00	0.00
1	10	10	36	59.47	58.27	1.20	0.00	0.00
1	1	1	8	2.74	2.53	0.21	0.00	0.00
2	4	4	15	4.03	3.56	0.47	0.00	0.00
2	4	4	15	3.51	3.04	0.47	0.00	0.00
1	8	8	15	7.91	7.13	0.78	0.00	0.00
6	19	19	342	102.25	84.14	18.10	0.00	0.00
1	12	12	42	9.24	7.89	1.34	0.00	0.00
1	14	14	24	7.55	6.80	0.75	0.00	0.00
1	1	1	8	2.41	2.19	0.22	0.00	0.00
2	4	4	15	3.75	3.26	0.49	0.00	0.00
2	4	4	15	3.77	3.30	0.47	0.00	0.00
2	4	4	15	4.10	3.62	0.48	0.00	0.00
2	4	4	15	3.92	3.43	0.48	0.00	0.00
2	4	4	15	3.84	3.36	0.48	0.00	0.00
2	4	4	15	3.75	3.26	0.49	0.00	0.00
1	5	5	24	8.06	7.28	0.78	0.00	0.00
1	8	8	15	4.27	3.79	0.48	0.00	0.00
1	8	8	15	3.83	3.36	0.47	0.00	0.00
1	24	24	78	36.58	33.77	2.81	0.00	0.00
1	30	30	96	57.65	54.21	3.44	0.00	0.00
3	32	32	102	51.23	47.18	4.06	0.00	0.00
2	4	4	15	3.54	3.05	0.49	0.00	0.00
2	4	4	15	3.50	3.03	0.47	0.00	0.00
2	12	12	39	8.81	7.46	1.35	0.00	0.00
1	5	5	24	9.09	8.31	0.78	0.00	0.00
1	8	8	15	3.59	3.09	0.50	0.00	0.00
2	4	4	15	4.10	3.60	0.50	0.00	0.00
2	4	4	15	3.72	3.21	0.50	0.00	0.00
1	8	8	15	9.25	8.27	0.98	0.00	0.00
1	14	14	24	7.89	7.11	0.77	0.00	0.00
3	7	7	60	14.67	12.28	2.38	0.00	0.00
2	4	4	15	5.63	5.05	0.57	0.00	0.00
1	0	0	6	10.51	10.26	0.25	0.00	0.00
1	1	1	8	11.14	10.92	0.22	0.00	0.00
2	4	4	15	12.72	12.25	0.47	0.00	0.00
2	2	2	45	7.03	5.19	1.85	0.00	0.00
1	3	3	19	6.64	6.01	0.63	0.00	0.00
2	7	7	24	7.81	7.04	0.77	0.00	0.00
3	7	7	36	10.31	8.97	1.34	0.00	0.00
4	9	9	49	15.62	13.75	1.86	0.00	0.00
2	4	4	15	3.72	3.23	0.49	0.00	0.00
2	4	4	15	3.66	3.20	0.46	0.00	0.00
2	4	4	15	3.92	3.46	0.46	0.00	0.00
1	6	6	24	7.04	6.27	0.78	0.00	0.00
1	6	6	24	7.47	6.71	0.76	0.00	0.00
2	4	4	15	3.57	3.10	0.47	0.00	0.00
2	7	7	24	8.04	7.27	0.77	0.00	0.00
1	6	6	24	6.40	5.63	0.77	0.00	0.00
2	4	4	15	3.86	3.39	0.47	0.00	0.00
1	14	14	24	7.71	6.98	0.72	0.00	0.00
8	8	8	30	17.06	16.00	1.05	0.00	0.00
2	4	4	15	3.93	3.46	0.47	0.00	0.00
1	8	8	15	4.89	4.43	0.47	0.00	0.00
2	4	4	15	3.67	3.23	0.44	0.00	0.00
2	4	4	15	3.50	3.04	0.46	0.00	0.00
2	7	7	24	8.09	7.32	0.77	0.00	0.00
1	8	8	15	5.27	4.80	0.48	0.00	0.00
2	7	7	24	8.92	8.14	0.78	0.00	0.00
