Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             6.88              0.00             6.88               90.92    
0.09            0.05             0.00              0.00             0.14               91.06    
0.02            0.03             0.00              0.00             0.05               91.11    
0.02            0.02             0.00              0.00             0.04               91.15    
0.02            0.02             0.00              0.00             0.04               91.19    
0.01            0.02             0.00              0.00             0.03               91.22    
0.01            0.02             0.00              0.00             0.03               91.25    
0.01            0.02             0.00              0.00             0.03               91.28    
0.01            0.01             0.00              0.00             0.02               91.30    
0.01            0.02             0.00              0.00             0.03               91.33    
0.01            0.02             0.00              0.00             0.03               91.36    
0.01            0.01             0.00              0.00             0.02               91.38    
0.01            0.02             0.00              0.00             0.03               91.41    
0.01            0.01             0.00              0.00             0.02               91.43    
0.01            0.01             0.00              0.00             0.02               91.45    
0.01            0.01             0.00              0.00             0.02               91.47    
0.01            0.01             0.00              0.00             0.02               91.49    
0.01            0.01             0.00              0.00             0.02               91.51    
0.01            0.01             0.00              0.00             0.02               91.53    
0.01            0.02             0.00              0.00             0.03               91.56    
0.01            0.00             0.00              0.00             0.01               91.57    
0.01            0.00             0.00              0.00             0.01               91.58    
0.01            0.00             0.00              0.00             0.01               91.59    
0.01            0.01             0.00              0.00             0.02               91.61    
0.01            0.00             0.00              0.00             0.01               91.62    
0.01            0.01             0.00              0.00             0.02               91.64    
0.01            0.01             0.00              0.00             0.02               91.66    
0.02            0.01             0.00              0.00             0.03               91.69    
0.01            0.01             0.00              0.00             0.02               91.71    
0.00            0.00             0.00              1.39             1.39               93.10    
