NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	4	4	15	28.51	21.56	3.78	0.87	2.30
1	1	1	8	11.93	9.09	1.04	0.36	1.45
1	8	8	15	13.75	10.49	1.06	0.43	1.77
2	4	4	15	14.07	10.81	1.18	0.28	1.80
1	5	5	24	20.66	16.97	1.62	0.25	1.82
2	7	7	24	22.89	18.90	1.66	0.31	2.02
1	1	1	8	12.53	9.98	0.59	0.14	1.82
2	4	4	15	11.30	8.26	1.04	0.18	1.81
3	8	8	57	43.58	37.69	3.70	0.36	1.82
1	2	2	6	10.54	8.55	0.43	0.13	1.44
2	4	4	15	9.23	6.77	0.88	0.16	1.42
1	14	14	24	16.02	12.77	1.30	0.33	1.63
1	8	8	15	14.44	8.07	1.97	0.60	3.80
1	32	32	102	62.13	55.07	4.17	0.72	2.17
1	160	160	306	108.23	79.22	13.78	8.88	6.35
1	30	30	96	66.65	60.56	3.59	0.47	2.03
1	30	30	96	103.78	96.58	4.33	0.68	2.20
2	4	4	15	7.20	5.08	0.64	0.12	1.35
2	4	4	15	7.34	5.24	0.63	0.13	1.34
2	4	4	15	7.16	5.06	0.57	0.10	1.43
2	4	4	15	6.27	4.15	0.56	0.10	1.46
1	2	2	12	10.70	8.35	0.47	0.10	1.77
2	4	4	15	5.75	3.71	0.60	0.10	1.33
1	8	8	15	11.14	8.64	1.00	0.19	1.32
1	8	8	15	11.58	8.96	1.02	0.19	1.41
3	7	7	53	32.73	22.01	6.75	0.39	3.57
1	1	1	8	8.29	6.34	0.57	0.09	1.28
2	3	3	18	12.13	9.48	1.20	0.12	1.33
2	4	4	15	12.84	10.38	0.99	0.13	1.34
1	8	8	15	10.70	8.34	0.88	0.21	1.27
2	5	5	24	12.08	9.75	0.92	0.13	1.29
2	4	4	15	6.06	4.09	0.57	0.09	1.31
2	4	4	15	8.57	6.03	0.69	0.12	1.73
2	4	4	15	8.43	6.31	0.57	0.11	1.44
1	14	14	24	11.27	8.87	0.85	0.23	1.32
1	8	8	15	6.29	4.29	0.55	0.14	1.32
1	8	8	15	6.23	4.20	0.55	0.14	1.34
3	7	7	46	11.70	8.60	1.68	0.13	1.29
2	7	7	24	11.96	9.59	1.01	0.12	1.24
1	8	8	15	10.81	8.37	0.91	0.21	1.31
1	8	8	15	13.16	7.25	2.12	0.45	3.35
2	6	6	24	11.18	9.02	0.81	0.12	1.24
2	6	6	24	10.88	8.71	0.80	0.11	1.26
1	8	8	15	6.03	4.08	0.50	0.14	1.31
2	6	6	24	11.01	8.80	0.81	0.10	1.29
2	6	6	24	15.80	10.30	2.03	0.26	3.20
2	6	6	24	12.11	9.88	0.82	0.12	1.30
2	6	6	24	11.63	9.43	0.83	0.11	1.26
2	6	6	24	11.41	9.19	0.83	0.11	1.27
2	6	6	24	11.78	9.60	0.78	0.12	1.28
2	6	6	24	11.30	9.12	0.80	0.11	1.28
2	6	6	24	13.21	10.68	1.09	0.16	1.29
2	6	6	24	10.41	8.31	0.79	0.09	1.22
2	6	6	24	10.97	8.82	0.79	0.09	1.27
2	6	6	24	9.93	7.80	0.77	0.10	1.25
2	6	6	24	11.12	8.99	0.78	0.10	1.24
1	8	8	15	5.17	3.26	0.49	0.11	1.31
1	8	8	15	5.67	3.76	0.49	0.11	1.31
1	8	8	15	5.94	3.89	0.51	0.12	1.42
