Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             7.42              0.00             7.42               108.17   
0.16            0.38             0.00              0.00             0.54               108.71   
0.16            0.26             0.00              0.00             0.42               109.13   
0.13            0.09             0.00              0.00             0.22               109.35   
0.04            0.08             0.00              0.00             0.12               109.47   
0.05            0.08             0.00              0.00             0.13               109.60   
0.04            0.08             0.00              0.00             0.12               109.72   
0.04            0.07             0.00              0.00             0.11               109.83   
0.04            0.09             0.00              0.00             0.13               109.96   
0.04            0.10             0.00              0.00             0.14               110.10   
0.04            0.18             0.00              0.00             0.22               110.32   
0.03            0.03             0.00              0.00             0.06               110.38   
0.02            0.05             0.00              0.00             0.07               110.45   
0.04            0.03             0.00              0.00             0.07               110.52   
0.06            0.03             0.00              0.00             0.09               110.61   
0.06            0.02             0.00              0.00             0.08               110.69   
0.07            0.03             0.00              0.00             0.10               110.79   
0.08            0.02             0.00              0.00             0.10               110.89   
0.08            0.03             0.00              0.00             0.11               111.00   
0.09            0.02             0.00              0.00             0.11               111.11   
0.09            0.02             0.00              0.00             0.11               111.22   
0.10            0.03             0.00              0.00             0.13               111.35   
0.10            0.03             0.00              0.00             0.13               111.48   
0.13            0.03             0.00              0.00             0.16               111.64   
0.12            0.03             0.00              0.00             0.15               111.79   
0.00            0.00             0.00              0.18             0.18               111.97   
