NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	4	4	15	16.60	10.32	6.28	0.00	0.00
1	1	1	8	8.88	6.83	2.05	0.00	0.00
1	8	8	15	15.74	11.88	3.85	0.00	0.00
2	4	4	15	12.62	9.62	3.00	0.00	0.00
1	5	5	24	15.53	12.53	3.00	0.00	0.00
2	7	7	24	25.92	19.83	6.09	0.00	0.00
1	1	1	8	10.10	9.06	1.04	0.00	0.00
2	4	4	15	11.53	8.31	3.22	0.00	0.00
3	8	8	57	66.48	44.50	21.99	0.00	0.00
1	2	2	6	11.14	10.18	0.97	0.00	0.00
2	4	4	15	10.57	7.59	2.97	0.00	0.00
1	14	14	24	21.24	14.65	6.60	0.00	0.00
1	8	8	15	11.61	8.50	3.11	0.00	0.00
1	32	32	102	86.45	54.69	31.75	0.00	0.00
1	160	160	306	408.48	76.87	331.61	0.00	0.00
1	30	30	96	87.05	60.49	26.55	0.00	0.00
1	30	30	96	89.61	63.12	26.49	0.00	0.00
2	4	4	15	5.57	3.95	1.62	0.00	0.00
2	4	4	15	5.45	3.78	1.67	0.00	0.00
2	4	4	15	5.63	4.02	1.61	0.00	0.00
2	4	4	15	5.32	3.68	1.64	0.00	0.00
1	2	2	12	10.14	8.90	1.24	0.00	0.00
2	4	4	15	6.98	4.80	2.18	0.00	0.00
1	8	8	15	7.74	5.25	2.50	0.00	0.00
1	8	8	15	8.19	5.58	2.61	0.00	0.00
3	7	7	53	21.39	11.12	10.27	0.00	0.00
1	1	1	8	3.19	2.68	0.51	0.00	0.00
2	3	3	18	6.52	4.71	1.81	0.00	0.00
2	4	4	15	6.35	4.75	1.61	0.00	0.00
1	8	8	15	5.97	4.09	1.88	0.00	0.00
2	5	5	24	10.04	7.73	2.31	0.00	0.00
2	4	4	15	5.28	3.71	1.57	0.00	0.00
2	4	4	15	7.32	5.13	2.19	0.00	0.00
2	4	4	15	7.41	5.17	2.25	0.00	0.00
1	14	14	24	13.58	9.74	3.84	0.00	0.00
1	8	8	15	5.85	4.05	1.80	0.00	0.00
1	8	8	15	5.60	3.78	1.82	0.00	0.00
3	7	7	46	16.42	8.69	7.73	0.00	0.00
2	7	7	24	11.56	8.49	3.07	0.00	0.00
1	8	8	15	5.76	3.95	1.82	0.00	0.00
1	8	8	15	5.72	3.89	1.83	0.00	0.00
2	6	6	24	11.87	9.32	2.55	0.00	0.00
2	6	6	24	11.42	8.90	2.52	0.00	0.00
1	8	8	15	5.86	4.03	1.83	0.00	0.00
2	6	6	24	11.82	9.23	2.59	0.00	0.00
2	6	6	24	12.50	10.00	2.50	0.00	0.00
2	6	6	24	12.27	9.75	2.52	0.00	0.00
2	6	6	24	12.02	9.48	2.54	0.00	0.00
2	6	6	24	11.59	9.05	2.54	0.00	0.00
2	6	6	24	12.32	9.83	2.50	0.00	0.00
2	6	6	24	11.35	8.80	2.55	0.00	0.00
2	6	6	24	10.99	8.42	2.57	0.00	0.00
2	6	6	24	11.50	8.94	2.56	0.00	0.00
2	6	6	24	12.02	9.37	2.65	0.00	0.00
2	6	6	24	10.77	8.19	2.58	0.00	0.00
2	6	6	24	11.66	9.09	2.57	0.00	0.00
1	8	8	15	5.08	3.27	1.81	0.00	0.00
1	8	8	15	5.63	3.86	1.77	0.00	0.00
1	8	8	15	5.74	3.87	1.87	0.00	0.00
1	8	8	15	5.23	3.50	1.72	0.00	0.00
2	4	4	15	5.35	3.73	1.62	0.00	0.00
3	7	7	53	21.08	10.74	10.34	0.00	0.00
2	4	4	15	5.18	3.54	1.64	0.00	0.00
1	1	1	8	2.72	2.25	0.46	0.00	0.00
2	7	7	24	37.10	31.09	6.01	0.00	0.00
2	7	7	24	11.17	8.01	3.16	0.00	0.00
2	7	7	24	11.05	7.97	3.08	0.00	0.00
1	1	1	8	3.35	2.91	0.44	0.00	0.00
1	1	1	8	3.26	2.84	0.42	0.00	0.00
1	1	1	8	3.43	2.98	0.45	0.00	0.00
2	7	7	24	11.83	8.83	3.00	0.00	0.00
2	7	7	24	11.65	8.53	3.11	0.00	0.00
2	7	7	24	11.81	8.72	3.10	0.00	0.00
2	7	7	24	11.90	8.73	3.16	0.00	0.00
2	7	7	24	11.67	8.51	3.16	0.00	0.00
2	7	7	24	24.39	20.47	3.93	0.00	0.00
2	7	7	24	11.46	8.40	3.06	0.00	0.00
2	7	7	24	11.28	8.24	3.03	0.00	0.00
2	10	10	36	17.43	12.72	4.71	0.00	0.00
1	1	1	12	5.59	4.65	0.94	0.00	0.00
2	4	4	15	6.04	4.44	1.60	0.00	0.00
2	7	7	24	11.96	8.88	3.08	0.00	0.00
2	4	4	15	5.76	4.15	1.62	0.00	0.00
2	7	7	24	11.74	8.57	3.17	0.00	0.00
1	1	1	8	3.15	2.75	0.41	0.00	0.00
2	7	7	24	14.69	10.43	4.26	0.00	0.00
2	7	7	24	11.77	8.68	3.08	0.00	0.00
3	7	7	54	23.03	12.66	10.37	0.00	0.00
2	7	7	24	11.77	8.53	3.24	0.00	0.00
2	7	7	24	11.93	8.82	3.11	0.00	0.00
1	1	1	8	2.98	2.57	0.40	0.00	0.00
1	8	8	15	5.20	3.36	1.84	0.00	0.00
2	4	4	15	4.88	3.28	1.60	0.00	0.00
2	7	7	24	10.72	7.57	3.14	0.00	0.00
2	4	4	15	5.94	3.51	2.43	0.00	0.00
1	14	14	24	11.17	7.37	3.80	0.00	0.00
1	8	8	15	5.58	3.69	1.89	0.00	0.00
3	10	10	73	26.48	12.40	14.08	0.00	0.00
2	7	7	24	11.84	8.69	3.14	0.00	0.00
2	7	7	24	11.31	8.29	3.02	0.00	0.00
2	7	7	24	11.31	8.24	3.06	0.00	0.00
2	7	7	24	11.46	8.36	3.09	0.00	0.00
2	7	7	24	11.69	8.51	3.18	0.00	0.00
2	7	7	24	11.36	8.31	3.05	0.00	0.00
2	7	7	24	11.27	8.11	3.16	0.00	0.00
1	1	1	8	3.08	2.66	0.42	0.00	0.00
2	7	7	24	10.95	7.80	3.15	0.00	0.00
2	7	7	24	11.30	8.16	3.14	0.00	0.00
2	7	7	24	11.38	8.29	3.09	0.00	0.00
2	7	7	24	11.14	7.99	3.15	0.00	0.00
2	7	7	24	10.84	7.77	3.06	0.00	0.00
2	7	7	24	14.45	10.29	4.16	0.00	0.00
2	7	7	24	14.66	10.56	4.10	0.00	0.00
