Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             11.13             0.00             11.13              61.13    
0.32            0.46             0.00              0.00             0.78               61.91    
0.18            0.30             0.00              0.00             0.48               62.39    
0.17            0.13             0.00              0.00             0.30               62.69    
0.06            0.12             0.00              0.00             0.18               62.87    
0.05            0.30             0.00              0.00             0.35               63.22    
0.13            0.14             0.00              0.00             0.27               63.49    
0.04            0.11             0.00              0.00             0.15               63.64    
0.04            0.29             0.00              0.00             0.33               63.97    
0.09            0.11             0.00              0.00             0.20               64.17    
0.03            0.10             0.00              0.00             0.13               64.30    
0.02            0.11             0.00              0.00             0.13               64.43    
0.03            0.07             0.00              0.00             0.10               64.53    
0.04            0.06             0.00              0.00             0.10               64.63    
0.03            0.06             0.00              0.00             0.09               64.72    
0.03            0.06             0.00              0.00             0.09               64.81    
0.02            0.06             0.00              0.00             0.08               64.89    
0.04            0.19             0.00              0.00             0.23               65.12    
0.15            0.06             0.00              0.00             0.21               65.33    
0.02            0.06             0.00              0.00             0.08               65.41    
0.04            0.10             0.00              0.00             0.14               65.55    
0.06            0.08             0.00              0.00             0.14               65.69    
0.09            0.09             0.00              0.00             0.18               65.87    
0.07            0.09             0.00              0.00             0.16               66.03    
0.04            0.12             0.00              0.00             0.16               66.19    
0.12            0.10             0.00              0.00             0.22               66.41    
0.05            0.27             0.00              0.00             0.32               66.73    
0.25            0.10             0.00              0.00             0.35               67.08    
0.05            0.26             0.00              0.00             0.31               67.39    
0.18            0.09             0.00              0.00             0.27               67.66    
0.05            0.08             0.00              0.00             0.13               67.79    
0.10            0.08             0.00              0.00             0.18               67.97    
0.13            0.10             0.00              0.00             0.23               68.20    
0.09            0.11             0.00              0.00             0.20               68.40    
0.08            0.08             0.00              0.00             0.16               68.56    
0.07            0.08             0.00              0.00             0.15               68.71    
0.08            0.04             0.00              0.00             0.12               68.83    
0.02            0.03             0.00              0.00             0.05               68.88    
0.02            0.03             0.00              0.00             0.05               68.93    
0.01            0.03             0.00              0.00             0.04               68.97    
0.01            0.03             0.00              0.00             0.04               69.01    
0.01            0.03             0.00              0.00             0.04               69.05    
0.03            0.08             0.00              0.00             0.11               69.16    
0.11            0.08             0.00              0.00             0.19               69.35    
0.12            0.06             0.00              0.00             0.18               69.53    
0.02            0.07             0.00              0.00             0.09               69.62    
0.04            0.06             0.00              0.00             0.10               69.72    
0.11            0.23             0.00              0.00             0.34               70.06    
0.17            0.07             0.00              0.00             0.24               70.30    
0.05            0.06             0.00              0.00             0.11               70.41    
0.12            0.06             0.00              0.00             0.18               70.59    
0.05            0.06             0.00              0.00             0.11               70.70    
0.13            0.03             0.00              0.00             0.16               70.86    
0.02            0.03             0.00              0.00             0.05               70.91    
0.00            0.00             0.00              4.35             4.35               75.26    
