NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	4	4	15	34.33	19.17	9.06	4.76	1.34
1	1	1	8	29.62	24.02	3.30	0.65	1.65
1	8	8	15	25.01	11.95	5.93	5.61	1.52
2	4	4	15	17.71	9.30	4.42	2.35	1.63
1	5	5	24	27.56	19.20	5.41	1.48	1.47
2	7	7	24	24.75	14.55	5.84	2.85	1.51
1	1	1	8	11.78	9.25	0.95	0.27	1.32
2	4	4	15	19.97	15.06	2.45	1.08	1.38
3	8	8	57	80.76	42.78	21.68	14.40	1.90
1	2	2	6	18.32	13.10	1.16	0.62	3.43
2	4	4	15	16.64	10.37	3.16	1.61	1.49
1	14	14	24	39.40	20.58	7.36	9.75	1.71
1	8	8	15	20.61	11.34	3.56	4.18	1.53
1	32	32	102	190.73	78.87	52.78	56.78	2.29
1	160	160	306	3280.11	91.05	392.98	2787.54	8.55
1	30	30	96	113.96	60.45	26.03	25.71	1.76
1	30	30	96	120.90	62.89	26.07	30.15	1.79
2	4	4	15	8.91	4.88	1.78	1.02	1.23
2	4	4	15	8.27	4.46	1.74	0.90	1.16
2	4	4	15	8.79	4.86	1.75	0.96	1.22
2	4	4	15	8.19	4.30	1.72	1.00	1.17
1	2	2	12	9.85	7.41	0.96	0.24	1.24
2	4	4	15	8.49	4.43	1.81	0.88	1.37
1	8	8	15	9.78	4.71	1.92	1.77	1.38
1	8	8	15	10.03	4.66	1.96	1.93	1.49
3	7	7	53	27.67	12.59	10.66	2.87	1.55
1	1	1	8	5.52	3.50	0.54	0.12	1.35
2	3	3	18	9.67	5.70	1.88	0.56	1.53
2	4	4	15	10.21	5.88	1.81	1.11	1.41
1	8	8	15	10.19	4.60	1.90	2.21	1.49
2	5	5	24	13.15	8.54	2.38	0.82	1.41
2	4	4	15	8.72	4.74	1.76	0.86	1.35
2	4	4	15	8.37	4.63	1.64	0.82	1.29
2	4	4	15	8.23	4.43	1.63	0.84	1.33
1	14	14	24	19.30	9.04	3.86	4.81	1.59
1	8	8	15	9.97	4.66	1.82	2.07	1.43
1	8	8	15	10.02	4.71	1.83	1.97	1.52
3	7	7	46	20.92	9.40	7.76	2.33	1.43
2	7	7	24	15.12	8.54	3.10	2.06	1.42
1	8	8	15	9.13	4.34	1.80	1.69	1.30
1	8	8	15	9.68	4.52	1.80	1.92	1.44
2	6	6	24	15.36	9.98	2.52	1.34	1.52
2	6	6	24	14.96	9.72	2.55	1.39	1.31
1	8	8	15	9.85	4.59	1.79	2.03	1.44
2	6	6	24	14.78	9.64	2.54	1.18	1.42
2	6	6	24	15.97	10.46	2.56	1.45	1.51
2	6	6	24	15.54	10.20	2.59	1.41	1.34
2	6	6	24	14.98	9.85	2.47	1.18	1.48
2	6	6	24	14.32	9.25	2.44	1.42	1.21
2	6	6	24	15.42	10.19	2.53	1.40	1.30
2	6	6	24	13.83	8.84	2.44	1.33	1.22
2	6	6	24	14.18	9.04	2.46	1.35	1.32
2	6	6	24	15.31	9.98	2.51	1.48	1.34
2	6	6	24	14.74	9.73	2.49	1.29	1.23
2	6	6	24	14.22	8.83	2.49	1.39	1.50
2	6	6	24	15.43	10.06	2.45	1.42	1.50
1	8	8	15	9.17	4.06	1.78	1.86	1.46
1	8	8	15	9.87	4.75	1.78	1.84	1.50
1	8	8	15	10.01	4.79	1.90	1.78	1.54
1	8	8	15	9.17	4.04	1.80	1.96	1.37
2	4	4	15	7.83	4.08	1.60	1.00	1.15
3	7	7	53	25.16	11.19	9.79	2.84	1.34
2	4	4	15	7.55	4.00	1.57	0.82	1.17
1	1	1	8	4.58	2.85	0.50	0.10	1.12
2	7	7	24	14.71	8.46	3.00	1.87	1.38
2	7	7	24	15.00	8.62	2.99	2.07	1.33
2	7	7	24	15.20	8.59	3.07	2.22	1.32
1	1	1	8	5.06	3.30	0.46	0.10	1.19
1	1	1	8	4.79	3.14	0.45	0.10	1.11
1	1	1	8	5.10	3.32	0.60	0.10	1.08
2	7	7	24	16.03	9.40	3.13	2.15	1.34
2	7	7	24	16.37	9.45	3.09	2.29	1.54
2	7	7	24	16.18	9.37	3.02	2.30	1.48
2	7	7	24	16.26	9.34	3.06	2.31	1.54
2	7	7	24	15.93	9.14	3.04	2.32	1.43
2	7	7	24	15.95	9.22	3.03	2.24	1.47
2	7	7	24	15.90	9.16	3.07	2.15	1.53
2	7	7	24	15.67	9.35	3.01	1.92	1.38
2	10	10	36	21.90	13.24	4.54	2.78	1.33
1	1	1	12	7.14	4.97	0.91	0.10	1.16
2	4	4	15	8.57	4.97	1.57	0.82	1.21
2	7	7	24	17.14	9.06	3.79	2.93	1.36
2	4	4	15	18.53	5.94	9.90	0.81	1.87
2	7	7	24	15.28	8.89	2.95	2.20	1.25
1	1	1	8	4.86	3.15	0.47	0.09	1.15
2	7	7	24	14.90	8.63	3.01	2.03	1.22
2	7	7	24	15.01	8.84	3.02	1.94	1.22
3	7	7	54	27.18	12.98	9.99	2.90	1.31
2	7	7	24	15.37	9.00	3.04	1.96	1.35
2	7	7	24	15.98	9.54	3.02	1.92	1.51
1	1	1	8	4.93	3.11	0.46	0.09	1.27
1	8	8	15	9.06	4.04	1.77	1.75	1.50
2	4	4	15	7.87	3.86	1.60	0.90	1.50
2	7	7	24	15.44	8.60	3.11	2.14	1.59
2	4	4	15	8.29	4.34	1.57	0.88	1.49
1	14	14	24	17.99	8.06	3.68	4.77	1.47
1	8	8	15	8.99	4.04	1.73	1.93	1.28
3	10	10	73	32.62	13.02	13.16	5.06	1.38
2	7	7	24	15.28	8.89	3.00	2.18	1.21
2	7	7	24	15.16	8.79	2.99	2.10	1.29
2	7	7	24	14.68	8.36	2.96	2.13	1.23
2	7	7	24	14.85	8.58	3.05	2.00	1.22
2	7	7	24	15.05	8.70	2.90	2.24	1.21
2	7	7	24	14.83	8.33	2.98	2.24	1.28
2	7	7	24	15.04	8.68	3.01	2.12	1.23
1	1	1	8	4.32	2.72	0.43	0.08	1.09
2	7	7	24	14.15	7.93	2.88	2.12	1.22
2	7	7	24	14.63	8.19	3.09	2.18	1.17
2	7	7	24	14.83	8.52	2.92	2.19	1.20
2	7	7	24	14.31	8.17	3.03	1.92	1.20
2	7	7	24	14.46	8.13	2.91	2.20	1.23
2	7	7	24	14.73	8.57	3.03	1.95	1.18
2	7	7	24	17.16	10.48	3.44	1.88	1.37
2	7	7	24	15.16	8.77	2.98	2.07	1.34
